NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 07/01/1983 through 06/30/2005
Location: Latitude 34.593   Longitude 51.051, Qom, Navaran
Elevation (meters): Average for one degree lat/lon region = 1370   Site = na
Climate zone: 4 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1984 03 28    6.49
1984 03 29    6.63
1984 03 30    4.28
1984 03 31    4.87
1984 04 01    6.89
1984 04 02    6.19
1984 04 03    7.23
1984 04 04    6.90
1984 04 05    5.91
1984 04 06    6.54
1984 04 07    7.11
1984 04 08    7.32
1984 04 09    5.41
1984 04 10    7.45
1984 04 11    4.70
1984 04 12    6.75
1984 04 13    7.52
1984 04 14    7.45
1984 04 15    7.10
1984 04 16    4.97
1984 04 17    5.54
1984 04 18    6.72
1984 04 19    6.88
1984 04 20    6.56
1984 04 21    3.91
1984 04 22    5.49
1984 04 23    3.53
1984 04 24    3.95
1984 04 25    6.35
1984 04 26    7.06
1984 04 27    7.52
1984 04 28    5.87
1984 04 29    4.83
1984 04 30    6.63
1984 05 01    5.14
1984 05 02    8.20
1984 05 03    7.48
1984 05 04    4.51
1984 05 05    5.31
1984 05 06    5.38
1984 05 07    7.26
1984 05 08    6.06
1984 05 09    4.67
1984 05 10    4.67
1984 05 11    6.58
1984 05 12    4.47
1984 05 13    6.03
1984 05 14    6.49
1984 05 15    6.47
1984 05 16    6.98
1984 05 17    5.74
1984 05 18    7.35
1984 05 19    3.68
1984 05 20    4.94
1984 05 21    6.46
1984 05 22    7.20
1984 05 23    6.64
1984 05 24    6.54
1984 05 25    5.32
1984 05 26    5.23
1984 05 27    5.97
1984 05 28    5.81
1984 05 29    7.48
1984 05 30    7.51
1984 05 31    6.41
1984 06 01    6.28
1984 06 02    7.15
1984 06 03    7.57
1984 06 04    6.47
1984 06 05    7.43
1984 06 06    7.39
1984 06 07    7.23
1984 06 08    7.89
1984 06 09    7.18
1984 06 10    7.19
1984 06 11    7.53
1984 06 12    7.95
1984 06 13    7.17
1984 06 14    7.45
1984 06 15    7.53
1984 06 16    7.28
1984 06 17    7.49
1984 06 18    7.59
1984 06 19    7.81
1984 06 20    8.01
1984 06 21    7.59
1984 06 22    7.41
1984 06 23    7.40
1984 06 24    7.24
1984 06 25    7.04
1984 06 26    7.69
1984 06 27    7.78
1984 06 28    7.66
1984 06 29    6.84
1984 06 30    6.93
1984 07 01    6.54
1984 07 02    7.31
1984 07 03    6.72
1984 07 04    7.64
1984 07 05    7.44
1984 07 06    7.29
1984 07 07    7.36
1984 07 08    6.61
1984 07 09    7.39
1984 07 10    7.15
1984 07 11    7.84
1984 07 12    7.08
1984 07 13    7.12
1984 07 14    7.27
1984 07 15    7.25
1984 07 16    6.82
1984 07 17    6.76
1984 07 18    6.91
1984 07 19    6.71
1984 07 20    8.17
1984 07 21    7.07
1984 07 22    6.63
1984 07 23    7.05
1984 07 24    6.69
1984 07 25    6.41
1984 07 26    6.64
1984 07 27    6.89
1984 07 28    6.30
1984 07 29    6.21
1984 07 30    6.34
1984 07 31    7.49
1984 08 01    6.72
1984 08 02    6.95
1984 08 03    6.99
1984 08 04    6.63
1984 08 05    6.36
1984 08 06    6.92
1984 08 07    6.74
1984 08 08    7.07
1984 08 09    6.86
1984 08 10    6.35
1984 08 11    6.61
1984 08 12    6.72
1984 08 13    6.23
1984 08 14    7.30
1984 08 15    6.80
1984 08 16    6.37
1984 08 17    6.72
1984 08 18    6.49
1984 08 19    6.67
1984 08 20    6.70
1984 08 21    6.70
1984 08 22    7.03
1984 08 23    6.27
1984 08 24    6.04
1984 08 25    6.13
1984 08 26    6.04
1984 08 27    6.59
1984 08 28    5.50
1984 08 29    5.78
1984 08 30    5.99
1984 08 31    5.95
1984 09 01    5.77
1984 09 02    5.89
1984 09 03    6.16
1984 09 04    6.04
1984 09 05    5.98
1984 09 06    6.04
1984 09 07    6.27
1984 09 08    5.65
1984 09 09    5.08
1984 09 10    4.95
1984 09 11    5.25
1984 09 12    5.53
1984 09 13    4.93
1984 09 14    5.51
1984 09 15    4.92
1984 09 16    5.91
1984 09 17    5.22
1984 09 18    5.59
1984 09 19    4.82
1984 09 20    4.95
1984 09 21    5.42
1984 09 22    5.26
1984 09 23    5.51
1984 09 24    5.33
1984 09 25    5.42
1984 09 26    5.01
1984 09 27    4.93
1984 09 28    5.01
1984 09 29    4.73
1984 09 30    4.40
1984 10 01    4.28
1984 10 02    4.14
1984 10 03    5.01
1984 10 04    4.81
1984 10 05    4.08
1984 10 06    4.59
1984 10 07    4.54
1984 10 08    4.42
1984 10 09    4.22
1984 10 10    3.88
1984 10 11    4.50
1984 10 12    4.31
1984 10 13    4.56
1984 10 14    4.40
1984 10 15    3.28
1984 10 16    3.02
1984 10 17    2.89
1984 10 18    3.34
1984 10 19    2.26
1984 10 20    3.94
1984 10 21    4.96
1984 10 22    4.90
1984 10 23    5.11
1984 10 24    4.83
1984 10 25    4.65
1984 10 26    4.14
1984 10 27    4.07
1984 10 28    4.05
1984 10 29    3.74
1984 10 30    3.53
